"covariate_id","covariate_name","mean_target_before","mean_comparator_before","smd_before","mean_target_after","mean_comparator_after","smd_after"
381316210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Cerebrovascular accident",0,0.0036,-0.0852,0,0.0036,-0.0852
40766240702,"measurement during day -365 through 0 days relative to index: Are you covered by health insurance or some other kind of health care plan [PhenX]",0,0.0036,-0.0852,0,0.0036,-0.0852
1956006,"index year: 1956",0.0033,0,0.0818,0.0036,0,0.0852
81151210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Sprain of ankle",0.0072,0.0157,-0.0794,0.0072,0.0157,-0.0793
81151102,"condition_occurrence during day -365 through 0 days relative to index: Sprain of ankle",0.0072,0.0157,-0.0794,0.0072,0.0157,-0.0793
1984006,"index year: 1984",0.0172,0.0084,0.0782,0.0205,0.0084,0.1011
260139104,"condition_occurrence during day -30 through 0 days relative to index: Acute bronchitis",0.0028,0.0084,-0.0758,0.0012,0.0084,-0.1045
1973006,"index year: 1973",0.0078,0.0024,0.0755,0.0072,0.0024,0.0696
40231925302,"drug_exposure during day -365 through 0 days relative to index: Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet",0.0028,0,0.0746,0.0012,0,0.0491
1124957410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Oxycodone",0.0028,0,0.0746,0.0012,0,0.0491
4059173102,"condition_occurrence during day -365 through 0 days relative to index: Fracture of ankle",0,0.0024,-0.0695,0,0.0024,-0.0695
1347450410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: alteplase",0,0.0024,-0.0695,0,0.0024,-0.0695
4059173210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Fracture of ankle",0,0.0024,-0.0695,0,0.0024,-0.0695
40220960302,"drug_exposure during day -365 through 0 days relative to index: alteplase 100 MG Injection",0,0.0024,-0.0695,0,0.0024,-0.0695
4024289502,"procedure_occurrence during day -365 through 0 days relative to index: Radiography of ankle",0,0.0024,-0.0695,0,0.0024,-0.0695
4113008210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Laceration of hand",0.0011,0.0048,-0.0682,0.0012,0.0048,-0.066
40231925303,"drug_exposure during day -180 through 0 days relative to index: Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet",0.0022,0,0.0667,0.0012,0,0.0491
1947006,"index year: 1947",0.0022,0,0.0667,0.0024,0,0.0695
372328103,"condition_occurrence during day -180 through 0 days relative to index: Otitis media",0.0022,0,0.0667,,,
1127433304,"drug_exposure during day -30 through 0 days relative to index: Acetaminophen 325 MG Oral Tablet",0.0033,0.0084,-0.0667,0.0012,0.0084,-0.1045
1992006,"index year: 1992",0.025,0.0157,0.0662,0.0253,0.0157,0.0681
1999006,"index year: 1999",0.0228,0.0337,-0.0662,0.0205,0.0337,-0.0817
738818410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Doxylamine",0.0106,0.0048,0.0657,0.0108,0.0048,0.0684
1119510410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Dextromethorphan",0.0106,0.0048,0.0657,0.0108,0.0048,0.0684
1964006,"index year: 1964",0.0028,0.0072,-0.0631,0.006,0.0072,-0.0149
2012006,"index year: 2012",0.0289,0.0193,0.0627,0.0301,0.0193,0.0699
1994006,"index year: 1994",0.0144,0.0229,-0.0624,0.0181,0.0229,-0.034
3011505702,"measurement during day -365 through 0 days relative to index: FEV1/FVC",0.0089,0.0157,-0.0615,0.0108,0.0157,-0.0422
4133840702,"measurement during day -365 through 0 days relative to index: Spirometry",0.0089,0.0157,-0.0615,0.0108,0.0157,-0.0422
40229134302,"drug_exposure during day -365 through 0 days relative to index: Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution",0.01,0.0048,0.0604,0.0096,0.0048,0.0569
1986006,"index year: 1986",0.015,0.0229,-0.0579,0.0193,0.0229,-0.0252
4047491503,"procedure_occurrence during day -180 through 0 days relative to index: Radiography of humerus",0.0017,0,0.0578,0.0012,0,0.0491
4278672103,"condition_occurrence during day -180 through 0 days relative to index: Fracture of forearm",0.0017,0,0.0578,0.0012,0,0.0491
40236824304,"drug_exposure during day -30 through 0 days relative to index: Phenazopyridine hydrochloride 100 MG Oral Tablet",0.0017,0,0.0578,0.0036,0,0.0852
40162522302,"drug_exposure during day -365 through 0 days relative to index: Acetaminophen 325 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet",0.0017,0,0.0578,0.0036,0,0.0852
920300304,"drug_exposure during day -30 through 0 days relative to index: Nitrofurantoin 5 MG/ML Oral Suspension",0.0017,0,0.0578,0.0036,0,0.0852
1539411303,"drug_exposure during day -180 through 0 days relative to index: Simvastatin 20 MG Oral Tablet",0.0017,0,0.0578,0.0012,0,0.0491
1174888410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Hydrocodone",0.0017,0,0.0578,0.0036,0,0.0852
40229134303,"drug_exposure during day -180 through 0 days relative to index: Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution",0.0061,0.0024,0.0569,0.006,0.0024,0.0558
4052083704,"measurement during day -30 through 0 days relative to index: Measurement of respiratory function",0.0017,0.0048,-0.0555,0.0012,0.0048,-0.066
1979006,"index year: 1979",0.0094,0.0048,0.055,0.0084,0.0048,0.0446
19078461302,"drug_exposure during day -365 through 0 days relative to index: Ibuprofen 200 MG Oral Tablet",0.0106,0.0169,-0.0543,0.0108,0.0169,-0.0516
4151422503,"procedure_occurrence during day -180 through 0 days relative to index: Sputum examination",0.0033,0.0072,-0.0538,0.0024,0.0072,-0.0696
2015006,"index year: 2015",0.0244,0.0169,0.0533,0.0229,0.0169,0.0432
4296205102,"condition_occurrence during day -365 through 0 days relative to index: Second degree burn",0.0039,0.0012,0.0533,0.0036,0.0012,0.0492
4296205210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Second degree burn",0.0039,0.0012,0.0533,0.0036,0.0012,0.0492
372328102,"condition_occurrence during day -365 through 0 days relative to index: Otitis media",0.0039,0.0012,0.0533,0.0036,0.0012,0.0492
19073188302,"drug_exposure during day -365 through 0 days relative to index: Amoxicillin 500 MG Oral Tablet",0.0039,0.0012,0.0533,0.0036,0.0012,0.0492
1177480410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Ibuprofen",0.0117,0.0181,-0.0529,0.012,0.0181,-0.0495
2004006,"index year: 2004",0.0356,0.0265,0.0522,0.0325,0.0265,0.0356
40213227302,"drug_exposure during day -365 through 0 days relative to index: tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",0.0594,0.0723,-0.0518,0.0687,0.0723,-0.0141
1961006,"index year: 1961",0.0011,0.0036,-0.0516,0.0012,0.0036,-0.0492
4163872502,"procedure_occurrence during day -365 through 0 days relative to index: Plain chest X-ray",0.0011,0.0036,-0.0516,0.0012,0.0036,-0.0492
4113008102,"condition_occurrence during day -365 through 0 days relative to index: Laceration of hand",0.0011,0.0036,-0.0516,0.0012,0.0036,-0.0492
1759842410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Clavulanate",0.02,0.0277,-0.0505,0.0205,0.0277,-0.0472
4035415103,"condition_occurrence during day -180 through 0 days relative to index: Tear of meniscus of knee",0,0.0012,-0.0491,0,0.0012,-0.0491
1768849410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Cefaclor",0,0.0012,-0.0491,0,0.0012,-0.0491
19073188304,"drug_exposure during day -30 through 0 days relative to index: Amoxicillin 500 MG Oral Tablet",0,0.0012,-0.0491,0,0.0012,-0.0491
4151422504,"procedure_occurrence during day -30 through 0 days relative to index: Sputum examination",0,0.0012,-0.0491,0,0.0012,-0.0491
44783196504,"procedure_occurrence during day -30 through 0 days relative to index: Surgical manipulation of joint of knee",0,0.0012,-0.0491,0,0.0012,-0.0491
4296205104,"condition_occurrence during day -30 through 0 days relative to index: Second degree burn",0,0.0012,-0.0491,0,0.0012,-0.0491
19115351302,"drug_exposure during day -365 through 0 days relative to index: Diazepam 5 MG [Valium]",0,0.0012,-0.0491,0,0.0012,-0.0491
4109685103,"condition_occurrence during day -180 through 0 days relative to index: Laceration of foot",0,0.0012,-0.0491,0,0.0012,-0.0491
19074841302,"drug_exposure during day -365 through 0 days relative to index: 12 HR Cefaclor 500 MG Extended Release Oral Tablet",0,0.0012,-0.0491,0,0.0012,-0.0491
4024289503,"procedure_occurrence during day -180 through 0 days relative to index: Radiography of ankle",0,0.0012,-0.0491,0,0.0012,-0.0491
4163872503,"procedure_occurrence during day -180 through 0 days relative to index: Plain chest X-ray",0,0.0012,-0.0491,0,0.0012,-0.0491
261325210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Pulmonary emphysema",0,0.0012,-0.0491,0,0.0012,-0.0491
4059173103,"condition_occurrence during day -180 through 0 days relative to index: Fracture of ankle",0,0.0012,-0.0491,0,0.0012,-0.0491
257012104,"condition_occurrence during day -30 through 0 days relative to index: Chronic sinusitis",0,0.0012,-0.0491,0,0.0012,-0.0491
4149245103,"condition_occurrence during day -180 through 0 days relative to index: Rupture of patellar tendon",0,0.0012,-0.0491,0,0.0012,-0.0491
378001104,"condition_occurrence during day -30 through 0 days relative to index: Concussion with no loss of consciousness",0,0.0012,-0.0491,0,0.0012,-0.0491
4116491104,"condition_occurrence during day -30 through 0 days relative to index: Escherichia coli urinary tract infection",0,0.0012,-0.0491,0,0.0012,-0.0491
4035415104,"condition_occurrence during day -30 through 0 days relative to index: Tear of meniscus of knee",0,0.0012,-0.0491,0,0.0012,-0.0491
723013410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Diazepam",0,0.0012,-0.0491,0,0.0012,-0.0491
261325102,"condition_occurrence during day -365 through 0 days relative to index: Pulmonary emphysema",0,0.0012,-0.0491,0,0.0012,-0.0491
40165015304,"drug_exposure during day -30 through 0 days relative to index: Meperidine Hydrochloride 50 MG Oral Tablet",0,0.0012,-0.0491,0,0.0012,-0.0491
44783196503,"procedure_occurrence during day -180 through 0 days relative to index: Surgical manipulation of joint of knee",0,0.0012,-0.0491,0,0.0012,-0.0491
19074679302,"drug_exposure during day -365 through 0 days relative to index: Carbamazepine 20 MG/ML Oral Suspension [Tegretol]",0,0.0012,-0.0491,0,0.0012,-0.0491
920334303,"drug_exposure during day -180 through 0 days relative to index: NITROFURANTOIN, MACROCRYSTALS 50 MG Oral Capsule",0,0.0012,-0.0491,0,0.0012,-0.0491
81151103,"condition_occurrence during day -180 through 0 days relative to index: Sprain of ankle",0.0028,0.006,-0.0491,0.0024,0.006,-0.0558
40481087102,"condition_occurrence during day -365 through 0 days relative to index: Viral sinusitis",0.0994,0.1145,-0.0486,0.1205,0.1145,0.0187
40169281302,"drug_exposure during day -365 through 0 days relative to index: 60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler",0.0006,0.0024,-0.0482,0.0012,0.0024,-0.0284
1137529410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: salmeterol",0.0006,0.0024,-0.0482,0.0012,0.0024,-0.0284
1960006,"index year: 1960",0.0006,0.0024,-0.0482,0.0012,0.0024,-0.0284
4035793503,"procedure_occurrence during day -180 through 0 days relative to index: Pulmonary rehabilitation",0.0006,0.0024,-0.0482,0.0012,0.0024,-0.0284
4035793502,"procedure_occurrence during day -365 through 0 days relative to index: Pulmonary rehabilitation",0.0006,0.0024,-0.0482,0.0012,0.0024,-0.0284
1149380410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: fluticasone",0.0006,0.0024,-0.0482,0.0012,0.0024,-0.0284
2017006,"index year: 2017",0.025,0.0181,0.0477,0.0205,0.0181,0.0175
19075001302,"drug_exposure during day -365 through 0 days relative to index: Cefuroxime 250 MG Oral Tablet",0.0011,0,0.0472,0.0012,0,0.0491
19078461304,"drug_exposure during day -30 through 0 days relative to index: Ibuprofen 200 MG Oral Tablet",0.0011,0,0.0472,,,
1778162410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Cefuroxime",0.0011,0,0.0472,0.0012,0,0.0491
4330583502,"procedure_occurrence during day -365 through 0 days relative to index: Vasectomy",0.0011,0,0.0472,0.0024,0,0.0695
4056621102,"condition_occurrence during day -365 through 0 days relative to index: Recurrent urinary tract infection",0.0011,0,0.0472,0.0012,0,0.0491
19126352303,"drug_exposure during day -180 through 0 days relative to index: Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray",0.0011,0,0.0472,0.0012,0,0.0491
1738521410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Doxycycline",0.0011,0,0.0472,0.0012,0,0.0491
4237458103,"condition_occurrence during day -180 through 0 days relative to index: Fracture of clavicle",0.0011,0,0.0472,0.0024,0,0.0695
1332419303,"drug_exposure during day -180 through 0 days relative to index: Amlodipine 5 MG Oral Tablet",0.0011,0,0.0472,0.0012,0,0.0491
19075601303,"drug_exposure during day -180 through 0 days relative to index: clopidogrel 75 MG Oral Tablet",0.0011,0,0.0472,0.0012,0,0.0491
3011505704,"measurement during day -30 through 0 days relative to index: FEV1/FVC",0.0011,0,0.0472,0.0012,0,0.0491
4056621210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Recurrent urinary tract infection",0.0011,0,0.0472,0.0012,0,0.0491
46233710302,"drug_exposure during day -365 through 0 days relative to index: Doxycycline Monohydrate 100 MG Oral Tablet",0.0011,0,0.0472,0.0012,0,0.0491
4152936103,"condition_occurrence during day -180 through 0 days relative to index: Laceration of thigh",0.0011,0,0.0472,,,
4155034103,"condition_occurrence during day -180 through 0 days relative to index: Laceration of forearm",0.0011,0,0.0472,0.0012,0,0.0491
317576103,"condition_occurrence during day -180 through 0 days relative to index: Coronary arteriosclerosis",0.0011,0,0.0472,0.0012,0,0.0491
4283893104,"condition_occurrence during day -30 through 0 days relative to index: Sinusitis",0.0011,0,0.0472,0.0012,0,0.0491
4058899503,"procedure_occurrence during day -180 through 0 days relative to index: Plain X-ray of clavicle",0.0011,0,0.0472,0.0024,0,0.0695
4133840704,"measurement during day -30 through 0 days relative to index: Spirometry",0.0011,0,0.0472,0.0012,0,0.0491
4294548104,"condition_occurrence during day -30 through 0 days relative to index: Acute bacterial sinusitis",0.0011,0,0.0472,,,
40481087210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Viral sinusitis",0.1044,0.1193,-0.0471,0.1253,0.1193,0.0184
1977006,"index year: 1977",0.0056,0.0096,-0.047,0.0084,0.0096,-0.0127
9003,"age group:  45 -  49",0.04,0.0313,0.0468,0.041,0.0313,0.0517
1958006,"index year: 1958",0.0039,0.0072,-0.0449,0.0036,0.0072,-0.0492
28060102,"condition_occurrence during day -365 through 0 days relative to index: Streptococcal sore throat",0.0067,0.0108,-0.0448,0.0072,0.0108,-0.0382
19133905302,"drug_exposure during day -365 through 0 days relative to index: Penicillin V Potassium 500 MG Oral Tablet",0.0067,0.0108,-0.0448,0.0072,0.0108,-0.0382
1959006,"index year: 1959",0.0033,0.0012,0.0447,0.0024,0.0012,0.0284
1948006,"index year: 1948",0.0022,0.0048,-0.0439,0.0036,0.0048,-0.0186
19059056302,"drug_exposure during day -365 through 0 days relative to index: Aspirin 81 MG Oral Tablet",0.0022,0.0048,-0.0439,0.0036,0.0048,-0.0186
4283893102,"condition_occurrence during day -365 through 0 days relative to index: Sinusitis",0.0083,0.0048,0.0435,0.0072,0.0048,0.0311
1998006,"index year: 1998",0.02,0.0265,-0.0432,0.0169,0.0265,-0.0662
2013006,"index year: 2013",0.02,0.0265,-0.0432,0.012,0.0265,-0.1053
4125906502,"procedure_occurrence during day -365 through 0 days relative to index: Suture open wound",0.0089,0.0133,-0.0417,0.0096,0.0133,-0.034
8507001,"gender = MALE",0.4967,0.4759,0.0416,0.4771,0.4759,0.0024
8532001,"gender = FEMALE",0.5033,0.5241,-0.0416,0.5229,0.5241,-0.0024
1127433303,"drug_exposure during day -180 through 0 days relative to index: Acetaminophen 325 MG Oral Tablet",0.0278,0.0349,-0.0411,0.0277,0.0349,-0.0415
1975006,"index year: 1975",0.0061,0.0096,-0.0399,0.0072,0.0096,-0.0264
2018006,"index year: 2018",0.0111,0.0157,-0.0396,0.0108,0.0157,-0.0422
40165015302,"drug_exposure during day -365 through 0 days relative to index: Meperidine Hydrochloride 50 MG Oral Tablet",0.0033,0.006,-0.0394,0.0036,0.006,-0.0348
19133905303,"drug_exposure during day -180 through 0 days relative to index: Penicillin V Potassium 500 MG Oral Tablet",0.0033,0.006,-0.0394,0.006,0.006,0
28060103,"condition_occurrence during day -180 through 0 days relative to index: Streptococcal sore throat",0.0033,0.006,-0.0394,0.006,0.006,0
1102527410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Meperidine",0.0033,0.006,-0.0394,0.0036,0.006,-0.0348
1361711410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Nitroglycerin",0.0094,0.006,0.0391,0.0108,0.006,0.0527
1729720410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Penicillin V",0.0072,0.0108,-0.0383,0.0084,0.0108,-0.0247
28060210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Streptococcal sore throat",0.0072,0.0108,-0.0383,0.0084,0.0108,-0.0247
1955006,"index year: 1955",0.0017,0.0036,-0.038,0.0012,0.0036,-0.0492
40213227303,"drug_exposure during day -180 through 0 days relative to index: tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",0.0317,0.0386,-0.0374,0.0386,0.0386,0
40213296304,"drug_exposure during day -30 through 0 days relative to index: hepatitis A vaccine, adult dosage",0.0044,0.0072,-0.0366,0.0036,0.0072,-0.0492
4283893210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Sinusitis",0.1217,0.1337,-0.0362,0.1325,0.1337,-0.0035
4191853502,"procedure_occurrence during day -365 through 0 days relative to index: Allergy screening test",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3021226702,"measurement during day -365 through 0 days relative to index: Shrimp IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3006734702,"measurement during day -365 through 0 days relative to index: White Oak IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3036780702,"measurement during day -365 through 0 days relative to index: American house dust mite IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3006451702,"measurement during day -365 through 0 days relative to index: Walnut IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
78272210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Sprain of wrist",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3005136702,"measurement during day -365 through 0 days relative to index: Cladosporium herbarum IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3001488702,"measurement during day -365 through 0 days relative to index: Cow milk IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3001247702,"measurement during day -365 through 0 days relative to index: Common Ragweed IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
78272102,"condition_occurrence during day -365 through 0 days relative to index: Sprain of wrist",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3020655702,"measurement during day -365 through 0 days relative to index: Honey bee IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3027231702,"measurement during day -365 through 0 days relative to index: Wheat IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3019406702,"measurement during day -365 through 0 days relative to index: Latex IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3015076702,"measurement during day -365 through 0 days relative to index: Soybean IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3014599702,"measurement during day -365 through 0 days relative to index: Egg white IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3012494702,"measurement during day -365 through 0 days relative to index: Peanut IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3023430702,"measurement during day -365 through 0 days relative to index: Cat dander IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
3000876702,"measurement during day -365 through 0 days relative to index: Codfish IgE Ab [Units/volume] in Serum",0.0061,0.0036,0.0359,0.006,0.0036,0.0348
1971006,"index year: 1971",0.0061,0.0036,0.0359,0.0036,0.0036,0
1713671302,"drug_exposure during day -365 through 0 days relative to index: Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet",0.02,0.0253,-0.0356,0.0205,0.0253,-0.0322
4107731504,"procedure_occurrence during day -30 through 0 days relative to index: Subcutaneous immunotherapy",0.0106,0.0072,0.0354,0.012,0.0072,0.0493
3009542702,"measurement during day -365 through 0 days relative to index: Hematocrit",0.0028,0.0012,0.0353,0.0036,0.0012,0.0492
4191853503,"procedure_occurrence during day -180 through 0 days relative to index: Allergy screening test",0.0028,0.0012,0.0353,0.0024,0.0012,0.0284
3000963702,"measurement during day -365 through 0 days relative to index: Hemoglobin",0.0028,0.0012,0.0353,0.0036,0.0012,0.0492
4134304210,"condition_era group (ConditionGroupEraLongTerm) during day -365 through 0 days relative to index: Fracture subluxation of wrist",0.0028,0.0012,0.0353,0.0024,0.0012,0.0284
1115171303,"drug_exposure during day -180 through 0 days relative to index: Naproxen sodium 220 MG Oral Tablet",0.0028,0.0012,0.0353,0.0024,0.0012,0.0284
1127433302,"drug_exposure during day -365 through 0 days relative to index: Acetaminophen 325 MG Oral Tablet",0.0578,0.0663,-0.0352,0.0578,0.0663,-0.035
3023103702,"measurement during day -365 through 0 days relative to index: Potassium serum/plasma",0.0006,0,0.0333,,,
3019550702,"measurement during day -365 through 0 days relative to index: Sodium serum/plasma",0.0006,0,0.0333,,,
3024731702,"measurement during day -365 through 0 days relative to index: MCV",0.0006,0,0.0333,,,
3045716702,"measurement during day -365 through 0 days relative to index: Anion gap serum/plasma",0.0006,0,0.0333,,,
198809102,"condition_occurrence during day -365 through 0 days relative to index: Acute cholecystitis",0.0006,0,0.0333,,,
198199102,"condition_occurrence during day -365 through 0 days relative to index: Pyelonephritis",0.0006,0,0.0333,,,
4010253503,"procedure_occurrence during day -180 through 0 days relative to index: Nasal sinus endoscopy",0.0006,0,0.0333,,,
4108705503,"procedure_occurrence during day -180 through 0 days relative to index: Intravenous blood transfusion of packed cells",0.0006,0,0.0333,0.0012,0,0.0491
19075001304,"drug_exposure during day -30 through 0 days relative to index: Cefuroxime 250 MG Oral Tablet",0.0006,0,0.0333,,,
4056621103,"condition_occurrence during day -180 through 0 days relative to index: Recurrent urinary tract infection",0.0006,0,0.0333,0.0012,0,0.0491
19007333303,"drug_exposure during day -180 through 0 days relative to index: Methotrexate 10 MG Oral Tablet",0.0006,0,0.0333,,,
3023430704,"measurement during day -30 through 0 days relative to index: Cat dander IgE Ab [Units/volume] in Serum",0.0006,0,0.0333,0.0012,0,0.0491
3015076704,"measurement during day -30 through 0 days relative to index: Soybean IgE Ab [Units/volume] in Serum",0.0006,0,0.0333,0.0012,0,0.0491
3012494704,"measurement during day -30 through 0 days relative to index: Peanut IgE Ab [Units/volume] in Serum",0.0006,0,0.0333,0.0012,0,0.0491
1728416410,"drug_era group (DrugGroupEraLongTerm) during day -365 through 0 days relative to index: Penicillin G",0.0006,0,0.0333,0.0012,0,0.0491
